1.3.;1;18 км 200 м, Приморское шоссе, ст. Лахта;Из СПб;30.156428, 59.993444;А;http://elvispiter.ru/images/SPELBB0103A1.jpg
1.5.;2;19 км 200 м, Приморское шоссе, пл. Ольгино,;Из СПб;30.13017, 59.995614;А;http://elvispiter.ru/images/SPELBB0105A1.jpg
1.7.;3;22 км 980 м, Приморское шоссе;Из СПб;30.072722, 60.002398;А;http://elvispiter.ru/images/SPELBB0107A1.jpg
1.8.;4;23 км 700 м, Приморское шоссе;Из СПб;30.060768, 60.004104;А;http://elvispiter.ru/images/SPELBB0108A1.jpg
1.9.;5;23 км 850 м, Приморское шоссе;Из СПб;30.058222, 60.004352;А;http://elvispiter.ru/images/SPELBB0109A1.jpg
1.10.;6;24 км 400 м, Приморское шоссе;Из СПб;30.048642, 60.005589;А;http://elvispiter.ru/images/SPELBB0110A.jpg
1.11.;7;24 км 800 м, Приморское шоссе;Из СПб;30.042051, 60.006661;А;http://elvispiter.ru/images/SPELBB0111A.jpg
1.12.;8;25 км 100 м, Приморское шоссе, ст. Лисий нос, перед виадуком;Из СПб;30.035913, 60.007645;А;http://elvispiter.ru/images/SPELBB0112A.jpg
1.22.;9;СУПЕРСАЙТ, 26 км, Приморское шоссе, п. Лисий Нос;В СПб;30.011342, 60.015163;А, Б;http://elvispiter.ru/images/%D0%9F%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B5%20%D1%88%D0%BE%D1%81%D1%81%D0%B5%20-%20%D0%BF%20%20%D0%9B%D0%B8%D1%81%D0%B8%D0%B9%20%D0%BD%D0%BE%D1%81%20%D1%81%D1%8A%D0%B5%D0%B7%D0%B4%20%D1%81%20%D0%B2%D0%B8%D0%B0%D0%B4%D1%83%D0%BA%D0%B0%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%20%282%29.JPG, http://elvispiter.ru/images/%D0%9F%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B5%20%D1%88%D0%BE%D1%81%D1%81%D0%B5%20-%20%D0%BF%20%20%D0%9B%D0%B8%D1%81%D0%B8%D0%B9%20%D0%BD%D0%BE%D1%81%20%D1%81%D1%8A%D0%B5%D0%B7%D0%B4%20%D1%81%20%D0%B2%D0%B8%D0%B0%D0%B4%D1%83%D0%BA%D0%B0%20%D0%B2%20%D0%A1%D0%9F%D0%B1%20%282%29.JPG
1.13.;10;29 км 150 м, Приморское шоссе, пл. Горская, перед КАД;В СПб;29.988344, 60.031971;А, Б;http://elvispiter.ru/images/SPELBB0113A.jpg, http://elvispiter.ru/images/SPELBB0113B.jpg
1.14.;11;29 км 300 м, Приморское шоссе, пл. Горская, перед КАД;В СПб;29.98629, 60.032723;А, Б;http://elvispiter.ru/images/SPELBB0114A.jpg, http://elvispiter.ru/images/SPELBB0114B.jpg
